start time,1633090652.7631605
times of actions,"[[1, 0.8820874691009521, (<Action.MOVE: 2>, 1, 1)], [0, 0.006554603576660156, (<Action.MOVE: 2>, 0, 1)], [1, 1.780958652496338, (<Action.MOVE: 2>, 1, 1)], [0, 0.012702226638793945, (<Action.MOVE: 2>, 1, 0)], [1, 1.7940881252288818, (<Action.MOVE: 2>, 1, 1)], [0, 0.009722232818603516, (<Action.MOVE: 2>, -1, -1)], [1, 3.784960985183716, <Action.KICK: 1>]]"
winner,red
game,4
iterations,9
times of actions,"[[1, 1.2467050552368164, (<Action.MOVE: 2>, 1, 0)], [0, 0.0051975250244140625, (<Action.MOVE: 2>, -1, -1)], [0, 0.012464046478271484, (<Action.MOVE: 2>, 0, 1)], [1, 2.639957904815674, (<Action.MOVE: 2>, 1, 0)], [0, 0.011225223541259766, (<Action.MOVE: 2>, 0, -1)], [1, 2.1968915462493896, (<Action.MOVE: 2>, 1, 0)], [0, 0.01717853546142578, (<Action.MOVE: 2>, -1, 0)], [1, 2.1099917888641357, (<Action.MOVE: 2>, 1, -1)], [0, 0.012968778610229492, (<Action.MOVE: 2>, -1, -1)], [0, 0.014609336853027344, (<Action.MOVE: 2>, 0, 1)], [1, 2.7980408668518066, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,5
iterations,13
times of actions,"[[1, 1.599031925201416, (<Action.MOVE: 2>, 1, 1)], [0, 0.00717616081237793, (<Action.MOVE: 2>, -1, -1)], [1, 3.4712040424346924, (<Action.MOVE: 2>, 1, 0)], [0, 0.01842784881591797, (<Action.MOVE: 2>, 0, -1)], [1, 3.78670072555542, (<Action.MOVE: 2>, 1, -1)], [0, 0.013154983520507812, (<Action.MOVE: 2>, -1, -1)], [1, 4.709873914718628, (<Action.MOVE: 2>, 1, 1)], [0, 0.01383352279663086, (<Action.MOVE: 2>, 0, -1)], [1, 3.8232245445251465, (<Action.MOVE: 2>, 1, 0)], [0, 0.013572216033935547, (<Action.MOVE: 2>, -1, 0)], [1, 3.434810161590576, (<Action.MOVE: 2>, 1, -1)], [0, 0.012346744537353516, (<Action.MOVE: 2>, 0, -1)], [1, 1.865684986114502, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,6
iterations,11
times of actions,"[[1, 1.0346450805664062, (<Action.MOVE: 2>, 1, 0)], [0, 0.006158590316772461, (<Action.MOVE: 2>, -1, -1)], [0, 0.0246579647064209, (<Action.MOVE: 2>, -1, 1)], [1, 2.023559331893921, (<Action.MOVE: 2>, 1, 0)], [0, 0.010136842727661133, (<Action.MOVE: 2>, -1, -1)], [1, 1.4726381301879883, (<Action.MOVE: 2>, 1, 1)], [0, 0.009586334228515625, (<Action.MOVE: 2>, 1, 0)], [1, 2.2410788536071777, (<Action.MOVE: 2>, 1, 0)], [0, 0.023323535919189453, (<Action.MOVE: 2>, -1, 1)], [1, 3.354233503341675, (<Action.MOVE: 2>, 1, -1)], [0, 0.013953685760498047, (<Action.MOVE: 2>, -1, 0)], [1, 2.5541470050811768, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,7
iterations,10
times of actions,"[[0, 0.012044668197631836, (<Action.MOVE: 2>, 1, 1)], [1, 1.2947583198547363, (<Action.MOVE: 2>, -1, -1)], [0, 0.00913691520690918, (<Action.MOVE: 2>, -1, 0)], [1, 2.151085615158081, (<Action.MOVE: 2>, -1, 0)], [0, 0.006747245788574219, (<Action.MOVE: 2>, 1, 0)], [1, 2.1971819400787354, (<Action.MOVE: 2>, -1, 0)], [0, 0.009091615676879883, (<Action.MOVE: 2>, -1, 0)], [1, 1.5388729572296143, (<Action.MOVE: 2>, -1, -1)], [0, 0.007027864456176758, (<Action.MOVE: 2>, 0, -1)], [1, 2.089923620223999, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,8
iterations,11
times of actions,"[[1, 2.8239500522613525, (<Action.MOVE: 2>, 0, 1)], [0, 0.007640361785888672, (<Action.MOVE: 2>, -1, 0)], [1, 3.119028091430664, (<Action.MOVE: 2>, 1, -1)], [0, 0.010115385055541992, (<Action.MOVE: 2>, -1, 0)], [1, 4.535172700881958, (<Action.MOVE: 2>, 1, 1)], [0, 0.011910438537597656, (<Action.MOVE: 2>, -1, 1)], [1, 3.4482386112213135, (<Action.MOVE: 2>, 1, -1)], [0, 0.011439323425292969, (<Action.MOVE: 2>, 0, -1)], [1, 3.848259449005127, (<Action.MOVE: 2>, 1, -1)], [0, 0.010979890823364258, (<Action.MOVE: 2>, 1, 0)], [1, 3.124551296234131, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,9
iterations,12
times of actions,"[[0, 0.014129638671875, (<Action.MOVE: 2>, 0, -1)], [1, 1.8169817924499512, (<Action.MOVE: 2>, 0, 1)], [0, 0.011961698532104492, (<Action.MOVE: 2>, -1, 0)], [1, 1.73209547996521, (<Action.MOVE: 2>, -1, 1)], [0, 0.009752273559570312, (<Action.MOVE: 2>, 1, 1)], [1, 4.938929557800293, (<Action.MOVE: 2>, -1, 1)], [0, 0.013069391250610352, (<Action.MOVE: 2>, 0, -1)], [1, 3.731055736541748, (<Action.MOVE: 2>, -1, 0)], [0, 0.015236854553222656, (<Action.MOVE: 2>, 1, -1)], [1, 2.123751640319824, (<Action.MOVE: 2>, -1, -1)], [0, 0.008191108703613281, (<Action.MOVE: 2>, -1, 0)], [1, 1.7962307929992676, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,10
iterations,10
times of actions,"[[0, 0.012000322341918945, (<Action.MOVE: 2>, 1, 1)], [1, 1.2584662437438965, (<Action.MOVE: 2>, -1, -1)], [0, 0.011045455932617188, (<Action.MOVE: 2>, -1, 0)], [1, 2.1740360260009766, (<Action.MOVE: 2>, -1, 0)], [0, 0.009899139404296875, (<Action.MOVE: 2>, 0, -1)], [1, 3.0211875438690186, (<Action.MOVE: 2>, -1, -1)], [0, 0.009918451309204102, (<Action.MOVE: 2>, 1, 0)], [1, 3.1367557048797607, (<Action.MOVE: 2>, -1, 0)], [0, 0.012469291687011719, (<Action.MOVE: 2>, 1, -1)], [1, 3.0272467136383057, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,11
iterations,14
times of actions,"[[0, 0.02379751205444336, (<Action.MOVE: 2>, 0, 1)], [1, 1.949101209640503, (<Action.MOVE: 2>, 0, 1)], [0, 0.012243270874023438, (<Action.MOVE: 2>, 1, 0)], [1, 2.4634854793548584, (<Action.MOVE: 2>, -1, 0)], [0, 0.014622926712036133, (<Action.MOVE: 2>, 1, -1)], [1, 2.498913049697876, (<Action.MOVE: 2>, 0, 1)], [0, 0.014986991882324219, (<Action.MOVE: 2>, 0, -1)], [1, 4.351885080337524, (<Action.MOVE: 2>, -1, 0)], [0, 0.01114654541015625, (<Action.MOVE: 2>, -1, 0)], [1, 3.861788272857666, (<Action.MOVE: 2>, -1, 0)], [0, 0.011547565460205078, (<Action.MOVE: 2>, 1, -1)], [1, 2.95141863822937, (<Action.MOVE: 2>, -1, -1)], [0, 0.011224508285522461, (<Action.MOVE: 2>, 1, -1)], [1, 1.2827229499816895, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,12
iterations,20
times of actions,"[[0, 0.007302284240722656, (<Action.MOVE: 2>, 1, 1)], [1, 0.9544062614440918, (<Action.MOVE: 2>, 0, 1)], [0, 0.010870695114135742, (<Action.MOVE: 2>, -1, 0)], [1, 1.2812302112579346, (<Action.MOVE: 2>, 0, 1)], [0, 0.012074708938598633, (<Action.MOVE: 2>, 1, 1)], [1, 2.678208589553833, (<Action.MOVE: 2>, -1, 1)], [0, 0.013674259185791016, (<Action.MOVE: 2>, 0, 1)], [1, 4.278992176055908, (<Action.MOVE: 2>, 1, 0)], [0, 0.011476993560791016, (<Action.MOVE: 2>, -1, 0)], [1, 3.8350913524627686, (<Action.MOVE: 2>, 0, -1)], [0, 0.010840654373168945, (<Action.MOVE: 2>, 0, 1)], [1, 3.2091705799102783, (<Action.MOVE: 2>, -1, 0)], [0, 0.009769439697265625, (<Action.MOVE: 2>, 0, -1)], [1, 3.5266997814178467, (<Action.MOVE: 2>, -1, 0)], [0, 0.012826204299926758, (<Action.MOVE: 2>, 0, 1)], [1, 2.9026951789855957, (<Action.MOVE: 2>, -1, 0)], [0, 0.014839410781860352, (<Action.MOVE: 2>, 0, 1)], [1, 1.5378165245056152, (<Action.MOVE: 2>, -1, 0)], [0, 0.009222030639648438, (<Action.MOVE: 2>, 1, -1)], [1, 2.687779426574707, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,13
iterations,15
times of actions,"[[1, 1.6327881813049316, (<Action.MOVE: 2>, 1, 1)], [0, 0.01355743408203125, (<Action.MOVE: 2>, 0, 1)], [1, 1.243708610534668, (<Action.MOVE: 2>, 0, 1)], [0, 0.007563352584838867, (<Action.MOVE: 2>, -1, 1)], [0, 0.021079063415527344, (<Action.MOVE: 2>, 0, -1)], [1, 1.9052696228027344, (<Action.MOVE: 2>, 1, 0)], [0, 0.011861324310302734, (<Action.MOVE: 2>, -1, 0)], [1, 2.134416341781616, (<Action.MOVE: 2>, 1, 0)], [0, 0.01302337646484375, (<Action.MOVE: 2>, 0, 1)], [1, 1.2722373008728027, (<Action.MOVE: 2>, 1, -1)], [0, 0.007610797882080078, (<Action.MOVE: 2>, -1, 1)], [0, 0.011435747146606445, (<Action.MOVE: 2>, 1, 0)], [1, 2.3895492553710938, (<Action.MOVE: 2>, 1, 0)], [0, 0.008077144622802734, (<Action.MOVE: 2>, -1, -1)], [1, 3.21003794670105, (<Action.MOVE: 2>, 1, -1)], [0, 0.012145280838012695, (<Action.MOVE: 2>, 0, 1)], [1, 1.760563611984253, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,14
iterations,20
times of actions,"[[0, 0.018590688705444336, (<Action.MOVE: 2>, -1, 0)], [1, 1.7269752025604248, (<Action.MOVE: 2>, 0, 1)], [0, 0.018303394317626953, (<Action.MOVE: 2>, 1, 1)], [1, 2.7030742168426514, (<Action.MOVE: 2>, 0, 1)], [0, 0.015343189239501953, (<Action.MOVE: 2>, 1, 1)], [1, 3.4622347354888916, (<Action.MOVE: 2>, -1, 0)], [0, 0.022823572158813477, (<Action.MOVE: 2>, 1, 0)], [1, 4.633989095687866, (<Action.MOVE: 2>, 0, 1)], [0, 0.012349128723144531, (<Action.MOVE: 2>, 0, -1)], [1, 5.329694747924805, (<Action.MOVE: 2>, 0, -1)], [0, 0.012378692626953125, (<Action.MOVE: 2>, 1, 0)], [1, 4.7717413902282715, (<Action.MOVE: 2>, -1, 1)], [0, 0.011864423751831055, (<Action.MOVE: 2>, 1, 1)], [1, 4.235103130340576, (<Action.MOVE: 2>, -1, 0)], [0, 0.01319432258605957, (<Action.MOVE: 2>, 0, -1)], [1, 3.879727840423584, (<Action.MOVE: 2>, -1, -1)], [0, 0.013953685760498047, (<Action.MOVE: 2>, -1, 0)], [1, 3.5932960510253906, (<Action.MOVE: 2>, -1, -1)], [0, 0.011808633804321289, (<Action.MOVE: 2>, 1, 0)], [1, 2.8012821674346924, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,15
iterations,12
times of actions,"[[0, 0.015029191970825195, (<Action.MOVE: 2>, -1, 0)], [1, 2.2013440132141113, (<Action.MOVE: 2>, -1, 0)], [0, 0.016936779022216797, (<Action.MOVE: 2>, 1, 1)], [1, 4.928172826766968, (<Action.MOVE: 2>, 1, 0)], [0, 0.024783849716186523, (<Action.MOVE: 2>, -1, 0)], [1, 3.744917631149292, (<Action.MOVE: 2>, 0, -1)], [0, 0.015311241149902344, (<Action.MOVE: 2>, 1, 0)], [1, 4.60636830329895, (<Action.MOVE: 2>, -1, -1)], [0, 0.0202944278717041, (<Action.MOVE: 2>, 1, 0)], [1, 4.642691373825073, (<Action.MOVE: 2>, -1, 0)], [0, 0.011791229248046875, (<Action.MOVE: 2>, 0, -1)], [1, 3.9192330837249756, <Action.KICK: 1>]]"
winner,blue
game,16
iterations,22
times of actions,"[[0, 0.009992361068725586, (<Action.MOVE: 2>, 0, -1)], [1, 0.5912361145019531, (<Action.MOVE: 2>, 0, 1)], [0, 0.008165359497070312, (<Action.MOVE: 2>, 0, 1)], [1, 1.81217360496521, (<Action.MOVE: 2>, 1, 0)], [0, 0.012769937515258789, (<Action.MOVE: 2>, 0, 1)], [1, 1.5428438186645508, (<Action.MOVE: 2>, -1, 1)], [0, 0.013487815856933594, (<Action.MOVE: 2>, -1, 0)], [1, 2.6072640419006348, (<Action.MOVE: 2>, -1, 1)], [0, 0.021378278732299805, (<Action.MOVE: 2>, 0, 1)], [1, 4.241125106811523, (<Action.MOVE: 2>, 1, 0)], [0, 0.026507139205932617, (<Action.MOVE: 2>, -1, 0)], [1, 3.8185830116271973, (<Action.MOVE: 2>, 0, -1)], [0, 0.015140295028686523, (<Action.MOVE: 2>, 0, 1)], [1, 3.197977066040039, (<Action.MOVE: 2>, -1, 0)], [0, 0.013108491897583008, (<Action.MOVE: 2>, 0, -1)], [1, 3.520643711090088, (<Action.MOVE: 2>, -1, 0)], [0, 0.01571059226989746, (<Action.MOVE: 2>, 1, 1)], [1, 3.3787858486175537, (<Action.MOVE: 2>, -1, 0)], [0, 0.011561393737792969, (<Action.MOVE: 2>, 0, 1)], [1, 1.918339729309082, (<Action.MOVE: 2>, -1, 0)], [0, 0.011093854904174805, (<Action.MOVE: 2>, 0, -1)], [1, 2.966486692428589, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,17
iterations,21
times of actions,"[[1, 1.6930513381958008, (<Action.MOVE: 2>, 1, 1)], [0, 0.014685630798339844, (<Action.MOVE: 2>, -1, 1)], [1, 1.3333289623260498, (<Action.MOVE: 2>, 1, 0)], [0, 0.008409738540649414, (<Action.MOVE: 2>, 0, -1)], [1, 2.5490241050720215, (<Action.MOVE: 2>, 0, 1)], [0, 0.01895928382873535, (<Action.MOVE: 2>, 0, -1)], [1, 3.1454169750213623, (<Action.MOVE: 2>, 1, -1)], [0, 0.022681236267089844, (<Action.MOVE: 2>, -1, 1)], [1, 4.016700506210327, (<Action.MOVE: 2>, -1, 0)], [0, 0.011548042297363281, (<Action.MOVE: 2>, 0, -1)], [1, 4.7519354820251465, (<Action.MOVE: 2>, 0, -1)], [0, 0.012648344039916992, (<Action.MOVE: 2>, -1, 1)], [1, 4.230854272842407, (<Action.MOVE: 2>, 1, -1)], [0, 0.011973142623901367, (<Action.MOVE: 2>, -1, 1)], [1, 2.353849411010742, (<Action.MOVE: 2>, 1, 0)], [0, 0.008240461349487305, (<Action.MOVE: 2>, -1, 1)], [0, 0.011947870254516602, (<Action.MOVE: 2>, -1, -1)], [1, 2.6329429149627686, (<Action.MOVE: 2>, 1, 0)], [0, 0.009364604949951172, (<Action.MOVE: 2>, 1, 1)], [1, 1.9136037826538086, (<Action.MOVE: 2>, 1, 0)], [0, 0.008074283599853516, (<Action.MOVE: 2>, 0, -1)], [1, 2.7966651916503906, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,18
iterations,17
times of actions,"[[1, 1.4879529476165771, (<Action.MOVE: 2>, 1, 0)], [0, 0.014153003692626953, (<Action.MOVE: 2>, 0, 1)], [1, 2.0530858039855957, (<Action.MOVE: 2>, 1, 1)], [0, 0.013775825500488281, (<Action.MOVE: 2>, -1, 0)], [1, 3.6540369987487793, (<Action.MOVE: 2>, 1, 1)], [0, 0.02240467071533203, (<Action.MOVE: 2>, -1, 0)], [1, 4.2321460247039795, (<Action.MOVE: 2>, -1, 0)], [0, 0.011471271514892578, (<Action.MOVE: 2>, 0, -1)], [1, 4.939054489135742, (<Action.MOVE: 2>, 1, 1)], [0, 0.015225410461425781, (<Action.MOVE: 2>, 0, 1)], [1, 4.619351148605347, (<Action.MOVE: 2>, 1, 1)], [0, 0.020684480667114258, (<Action.MOVE: 2>, -1, 1)], [1, 4.121349811553955, (<Action.MOVE: 2>, 1, -1)], [0, 0.012580394744873047, (<Action.MOVE: 2>, 1, 0)], [1, 3.6504945755004883, (<Action.MOVE: 2>, 1, -1)], [0, 0.013758659362792969, (<Action.MOVE: 2>, 1, 0)], [1, 3.3182473182678223, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,19
iterations,9
times of actions,"[[0, 0.01183009147644043, (<Action.MOVE: 2>, 1, 0)], [1, 1.8698112964630127, (<Action.MOVE: 2>, 0, 1)], [0, 0.01792597770690918, (<Action.MOVE: 2>, 1, -1)], [1, 3.4582409858703613, (<Action.MOVE: 2>, -1, 1)], [0, 0.013091802597045898, (<Action.MOVE: 2>, 0, -1)], [1, 4.498088121414185, (<Action.MOVE: 2>, 0, -1)], [0, 0.013007640838623047, (<Action.MOVE: 2>, 1, 0)], [1, 4.499019145965576, (<Action.MOVE: 2>, 1, 0)], [0, 0.011000633239746094, (<Action.MOVE: 2>, -1, 0)], [1, 4.290338039398193, (<Action.MOVE: 2>, -1, 0)]]"
winner,none
game,20
iterations,7
times of actions,"[[0, 0.022308349609375, (<Action.MOVE: 2>, 1, 1)], [1, 2.7592506408691406, (<Action.MOVE: 2>, 0, 1)], [0, 0.018640518188476562, (<Action.MOVE: 2>, 1, 1)], [1, 3.1933181285858154, (<Action.MOVE: 2>, 1, 0)], [0, 0.017527341842651367, (<Action.MOVE: 2>, 1, 1)], [1, 1.9987363815307617, (<Action.MOVE: 2>, 0, 1)], [0, 0.013377666473388672, <Action.KICK: 1>]]"
winner,red
game,21
iterations,9
times of actions,"[[1, 0.9996147155761719, (<Action.MOVE: 2>, 1, 1)], [0, 0.00498509407043457, (<Action.MOVE: 2>, -1, 0)], [1, 1.5084800720214844, (<Action.MOVE: 2>, 1, 1)], [0, 0.010169744491577148, (<Action.MOVE: 2>, -1, -1)], [0, 0.014981985092163086, (<Action.MOVE: 2>, -1, -1)], [0, 0.016042232513427734, (<Action.MOVE: 2>, -1, 0)], [1, 2.3271660804748535, (<Action.MOVE: 2>, 1, 0)], [0, 0.00903773307800293, (<Action.MOVE: 2>, 0, 1)], [1, 3.3045756816864014, (<Action.MOVE: 2>, 1, -1)], [0, 0.023416757583618164, (<Action.MOVE: 2>, 1, 0)], [1, 2.8356480598449707, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,22
iterations,17
times of actions,"[[1, 1.6037797927856445, (<Action.MOVE: 2>, 1, 1)], [0, 0.014119625091552734, (<Action.MOVE: 2>, -1, -1)], [1, 3.552260637283325, (<Action.MOVE: 2>, 1, 0)], [0, 0.0249481201171875, (<Action.MOVE: 2>, -1, -1)], [1, 3.249753475189209, (<Action.MOVE: 2>, 0, -1)], [0, 0.018632173538208008, (<Action.MOVE: 2>, -1, 0)], [1, 4.761659383773804, (<Action.MOVE: 2>, -1, 0)], [0, 0.022272586822509766, (<Action.MOVE: 2>, 0, 1)], [1, 4.124213933944702, (<Action.MOVE: 2>, 1, -1)], [0, 0.013289690017700195, (<Action.MOVE: 2>, 1, 0)], [1, 3.859307050704956, (<Action.MOVE: 2>, 1, 0)], [0, 0.012116193771362305, (<Action.MOVE: 2>, -1, 0)], [1, 3.7452242374420166, (<Action.MOVE: 2>, 1, 0)], [0, 0.018673419952392578, (<Action.MOVE: 2>, -1, -1)], [1, 3.648782253265381, (<Action.MOVE: 2>, 1, 0)], [0, 0.017287492752075195, (<Action.MOVE: 2>, -1, 1)], [1, 2.5748085975646973, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,23
iterations,13
times of actions,"[[1, 0.8903851509094238, (<Action.MOVE: 2>, 1, 1)], [0, 0.013074398040771484, (<Action.MOVE: 2>, -1, 0)], [1, 2.0427064895629883, (<Action.MOVE: 2>, 1, 1)], [0, 0.018643617630004883, (<Action.MOVE: 2>, -1, 1)], [1, 2.7452428340911865, (<Action.MOVE: 2>, 0, 1)], [0, 0.023405790328979492, (<Action.MOVE: 2>, -1, 1)], [1, 2.3103435039520264, (<Action.MOVE: 2>, 1, 1)], [0, 0.01348423957824707, (<Action.MOVE: 2>, -1, -1)], [1, 3.1315813064575195, (<Action.MOVE: 2>, 1, 0)], [0, 0.009653568267822266, (<Action.MOVE: 2>, 1, 0)], [1, 3.256734848022461, (<Action.MOVE: 2>, 1, -1)], [0, 0.011028766632080078, (<Action.MOVE: 2>, -1, -1)], [1, 2.4186556339263916, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,24
iterations,7
times of actions,"[[1, 0.884768009185791, (<Action.MOVE: 2>, 1, 1)], [0, 0.012319564819335938, (<Action.MOVE: 2>, 0, 1)], [1, 2.0866124629974365, (<Action.MOVE: 2>, 1, 1)], [0, 0.02544236183166504, (<Action.MOVE: 2>, 1, 0)], [1, 2.1504299640655518, (<Action.MOVE: 2>, 1, 1)], [0, 0.013572216033935547, (<Action.MOVE: 2>, -1, 0)], [1, 4.213244438171387, <Action.KICK: 1>]]"
winner,red
game,25
iterations,13
times of actions,"[[1, 2.0162065029144287, (<Action.MOVE: 2>, 1, 1)], [0, 0.007603645324707031, (<Action.MOVE: 2>, -1, -1)], [1, 2.051447868347168, (<Action.MOVE: 2>, 1, 0)], [0, 0.012894630432128906, (<Action.MOVE: 2>, 0, 1)], [1, 2.7872092723846436, (<Action.MOVE: 2>, 0, 1)], [0, 0.017115116119384766, (<Action.MOVE: 2>, -1, 0)], [1, 2.2287237644195557, (<Action.MOVE: 2>, 1, -1)], [0, 0.01273202896118164, (<Action.MOVE: 2>, -1, 1)], [1, 3.6944727897644043, (<Action.MOVE: 2>, 1, 0)], [0, 0.015137672424316406, (<Action.MOVE: 2>, -1, 0)], [1, 3.053096055984497, (<Action.MOVE: 2>, 1, -1)], [0, 0.014555215835571289, (<Action.MOVE: 2>, 1, 0)], [1, 2.8912394046783447, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,26
iterations,9
times of actions,"[[1, 2.4492383003234863, (<Action.MOVE: 2>, 0, 1)], [0, 0.013532400131225586, (<Action.MOVE: 2>, -1, 0)], [1, 2.2617909908294678, (<Action.MOVE: 2>, 1, 0)], [0, 0.025030136108398438, (<Action.MOVE: 2>, 0, -1)], [1, 3.2343313694000244, (<Action.MOVE: 2>, 1, -1)], [0, 0.018560409545898438, (<Action.MOVE: 2>, 1, 0)], [1, 3.8443243503570557, (<Action.MOVE: 2>, 1, 0)], [0, 0.01109623908996582, (<Action.MOVE: 2>, 0, 1)], [1, 2.9140465259552, <Action.KICK: 1>]]"
winner,red
game,27
iterations,10
times of actions,"[[0, 0.010947465896606445, (<Action.MOVE: 2>, 0, 1)], [1, 2.216829776763916, (<Action.MOVE: 2>, -1, 0)], [0, 0.019400358200073242, (<Action.MOVE: 2>, 1, -1)], [1, 4.77957558631897, (<Action.MOVE: 2>, -1, 1)], [0, 0.018794775009155273, (<Action.MOVE: 2>, 0, -1)], [1, 3.667555809020996, (<Action.MOVE: 2>, -1, 0)], [0, 0.018750429153442383, (<Action.MOVE: 2>, 1, -1)], [1, 2.4016871452331543, (<Action.MOVE: 2>, -1, -1)], [0, 0.013056278228759766, (<Action.MOVE: 2>, -1, 0)], [1, 1.6867895126342773, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,28
iterations,14
times of actions,"[[0, 0.007973670959472656, (<Action.MOVE: 2>, 1, 0)], [1, 0.57088303565979, (<Action.MOVE: 2>, 0, 1)], [0, 0.008076906204223633, (<Action.MOVE: 2>, 1, 1)], [1, 1.3565740585327148, (<Action.MOVE: 2>, 0, 1)], [0, 0.00883936882019043, (<Action.MOVE: 2>, -1, 0)], [1, 1.550438642501831, (<Action.MOVE: 2>, -1, 1)], [0, 0.009114265441894531, (<Action.MOVE: 2>, 1, 1)], [1, 3.952627182006836, (<Action.MOVE: 2>, -1, 0)], [0, 0.01301431655883789, (<Action.MOVE: 2>, 1, 0)], [1, 3.225867748260498, (<Action.MOVE: 2>, -1, 0)], [0, 0.013033866882324219, (<Action.MOVE: 2>, 1, -1)], [1, 1.5119128227233887, (<Action.MOVE: 2>, -1, -1)], [0, 0.0073812007904052734, (<Action.MOVE: 2>, -1, 0)], [1, 1.7811951637268066, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,29
iterations,10
times of actions,"[[0, 0.021352529525756836, (<Action.MOVE: 2>, 0, 1)], [1, 1.590456247329712, (<Action.MOVE: 2>, -1, 0)], [0, 0.010794639587402344, (<Action.MOVE: 2>, 1, 0)], [1, 2.5254523754119873, (<Action.MOVE: 2>, -1, -1)], [0, 0.014498233795166016, (<Action.MOVE: 2>, 0, -1)], [1, 3.5436301231384277, (<Action.MOVE: 2>, -1, 0)], [0, 0.013721704483032227, (<Action.MOVE: 2>, 0, 1)], [1, 2.128166675567627, (<Action.MOVE: 2>, -1, 0)], [0, 0.01168513298034668, (<Action.MOVE: 2>, -1, 0)], [1, 1.7794206142425537, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,30
iterations,15
