start time,1633071274.1702516
times of actions,"[[1, 2.105231761932373, (<Action.MOVE: 2>, 1, 0)], [0, 0.007314920425415039, (<Action.MOVE: 2>, 0, 1)], [1, 2.075697898864746, (<Action.MOVE: 2>, 0, -1)], [0, 0.01396322250366211, (<Action.MOVE: 2>, 0, 1)], [1, 1.4112401008605957, (<Action.MOVE: 2>, 1, 0)], [0, 0.008350610733032227, (<Action.MOVE: 2>, -1, 1)], [0, 0.012653112411499023, (<Action.MOVE: 2>, 1, 0)], [1, 1.6615016460418701, (<Action.MOVE: 2>, 1, 0)], [0, 0.0054302215576171875, (<Action.MOVE: 2>, -1, 1)], [0, 0.009099483489990234, (<Action.MOVE: 2>, -1, 1)], [0, 0.009490728378295898, (<Action.MOVE: 2>, -1, -1)], [1, 3.0562217235565186, (<Action.MOVE: 2>, 1, -1)], [0, 0.011042118072509766, (<Action.MOVE: 2>, -1, -1)], [1, 3.077526330947876, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,4
iterations,8
times of actions,"[[0, 0.010004043579101562, (<Action.MOVE: 2>, 0, -1)], [1, 2.2149648666381836, (<Action.MOVE: 2>, -1, -1)], [0, 0.011998653411865234, (<Action.MOVE: 2>, 0, 1)], [1, 4.715452671051025, (<Action.MOVE: 2>, -1, 1)], [0, 0.011091947555541992, (<Action.MOVE: 2>, -1, 0)], [1, 3.8064794540405273, (<Action.MOVE: 2>, -1, 0)], [0, 0.011055231094360352, (<Action.MOVE: 2>, 0, 1)], [1, 3.000699281692505, <Action.KICK: 1>]]"
winner,blue
game,5
iterations,14
times of actions,"[[0, 0.014298439025878906, (<Action.MOVE: 2>, 1, 0)], [1, 2.7020020484924316, (<Action.MOVE: 2>, 0, 1)], [0, 0.017728805541992188, (<Action.MOVE: 2>, 1, 0)], [1, 3.215094804763794, (<Action.MOVE: 2>, 0, 1)], [0, 0.010931253433227539, (<Action.MOVE: 2>, 1, -1)], [1, 4.231055974960327, (<Action.MOVE: 2>, -1, 1)], [0, 0.013754606246948242, (<Action.MOVE: 2>, 0, 1)], [1, 4.593166351318359, (<Action.MOVE: 2>, -1, 1)], [0, 0.0110626220703125, (<Action.MOVE: 2>, 1, 1)], [1, 3.9329545497894287, (<Action.MOVE: 2>, -1, -1)], [0, 0.012194633483886719, (<Action.MOVE: 2>, 1, 1)], [1, 3.126113176345825, (<Action.MOVE: 2>, -1, -1)], [0, 0.011025428771972656, (<Action.MOVE: 2>, 1, 1)], [1, 1.2633388042449951, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,6
iterations,13
times of actions,"[[1, 2.6809802055358887, (<Action.MOVE: 2>, 0, 1)], [0, 0.010312080383300781, (<Action.MOVE: 2>, -1, 0)], [1, 2.8788981437683105, (<Action.MOVE: 2>, 0, 1)], [0, 0.012336492538452148, (<Action.MOVE: 2>, -1, 1)], [1, 2.2660839557647705, (<Action.MOVE: 2>, 0, -1)], [0, 0.015103340148925781, (<Action.MOVE: 2>, -1, 1)], [1, 1.910046100616455, (<Action.MOVE: 2>, 1, -1)], [0, 0.011207103729248047, (<Action.MOVE: 2>, 0, 1)], [1, 1.957472801208496, (<Action.MOVE: 2>, 1, 0)], [0, 0.007907390594482422, (<Action.MOVE: 2>, -1, 0)], [1, 1.7459146976470947, (<Action.MOVE: 2>, 1, -1)], [0, 0.0067615509033203125, (<Action.MOVE: 2>, 1, 0)], [1, 1.5948231220245361, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,7
iterations,11
times of actions,"[[1, 1.637223720550537, (<Action.MOVE: 2>, 1, 0)], [0, 0.008244514465332031, (<Action.MOVE: 2>, -1, 0)], [1, 1.792973518371582, (<Action.MOVE: 2>, 1, 1)], [0, 0.011175394058227539, (<Action.MOVE: 2>, 0, 1)], [1, 2.24196457862854, (<Action.MOVE: 2>, 0, 1)], [0, 0.011762619018554688, (<Action.MOVE: 2>, -1, -1)], [1, 2.1984786987304688, (<Action.MOVE: 2>, 1, 0)], [0, 0.008005619049072266, (<Action.MOVE: 2>, -1, -1)], [0, 0.01369333267211914, (<Action.MOVE: 2>, -1, 0)], [1, 1.845477819442749, (<Action.MOVE: 2>, 1, -1)], [0, 0.009481668472290039, (<Action.MOVE: 2>, -1, 0)], [1, 1.3220195770263672, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,8
iterations,12
times of actions,"[[0, 0.007999897003173828, (<Action.MOVE: 2>, -1, 0)], [1, 1.7471837997436523, (<Action.MOVE: 2>, 0, 1)], [0, 0.024143695831298828, (<Action.MOVE: 2>, 1, 1)], [1, 1.6315045356750488, (<Action.MOVE: 2>, -1, 1)], [0, 0.012763023376464844, (<Action.MOVE: 2>, -1, 0)], [1, 2.534038782119751, (<Action.MOVE: 2>, -1, 0)], [0, 0.009587287902832031, (<Action.MOVE: 2>, 0, -1)], [1, 3.322850227355957, (<Action.MOVE: 2>, -1, -1)], [0, 0.010961294174194336, (<Action.MOVE: 2>, 1, 1)], [1, 2.036003589630127, (<Action.MOVE: 2>, -1, 0)], [0, 0.01013493537902832, (<Action.MOVE: 2>, 1, -1)], [1, 2.744455337524414, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,9
iterations,10
times of actions,"[[0, 0.010673284530639648, (<Action.MOVE: 2>, 0, -1)], [1, 1.1108603477478027, (<Action.MOVE: 2>, -1, 1)], [0, 0.006675243377685547, (<Action.MOVE: 2>, 1, 0)], [1, 2.57588791847229, (<Action.MOVE: 2>, -1, 0)], [0, 0.009536504745483398, (<Action.MOVE: 2>, 0, 1)], [1, 3.5965964794158936, (<Action.MOVE: 2>, -1, 0)], [0, 0.011574745178222656, (<Action.MOVE: 2>, 1, -1)], [1, 1.995365858078003, (<Action.MOVE: 2>, -1, 0)], [0, 0.008498907089233398, (<Action.MOVE: 2>, 0, 1)], [1, 2.6430983543395996, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,10
iterations,3
times of actions,"[[1, 1.8675837516784668, (<Action.MOVE: 2>, 1, 0)], [0, 0.007220745086669922, (<Action.MOVE: 2>, -1, 0)], [1, 2.1297354698181152, (<Action.MOVE: 2>, 1, 0)], [0, 0.01187586784362793, (<Action.MOVE: 2>, -1, 0)]]"
winner,none
game,11
iterations,10
times of actions,"[[0, 0.008525848388671875, (<Action.MOVE: 2>, 0, -1)], [1, 2.470604658126831, (<Action.MOVE: 2>, -1, 1)], [0, 0.011917352676391602, (<Action.MOVE: 2>, 1, -1)], [1, 4.13196325302124, (<Action.MOVE: 2>, -1, 0)], [0, 0.012219429016113281, (<Action.MOVE: 2>, -1, 0)], [1, 3.4519097805023193, (<Action.MOVE: 2>, -1, 0)], [0, 0.024260759353637695, (<Action.MOVE: 2>, 1, 0)], [1, 3.176229953765869, (<Action.MOVE: 2>, -1, 0)], [0, 0.013301610946655273, (<Action.MOVE: 2>, 1, -1)], [1, 1.680626630783081, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,12
iterations,11
times of actions,"[[1, 1.1863124370574951, (<Action.MOVE: 2>, 0, 1)], [0, 0.006954669952392578, (<Action.MOVE: 2>, 0, -1)], [1, 1.6864197254180908, (<Action.MOVE: 2>, 1, 1)], [0, 0.010070085525512695, (<Action.MOVE: 2>, 0, 1)], [1, 2.7719452381134033, (<Action.MOVE: 2>, -1, 0)], [0, 0.011844158172607422, (<Action.MOVE: 2>, 1, 0)], [1, 2.030362367630005, (<Action.MOVE: 2>, 1, 1)], [0, 0.01174020767211914, (<Action.MOVE: 2>, 0, 1)], [1, 3.006196975708008, (<Action.MOVE: 2>, 0, -1)], [0, 0.011107683181762695, (<Action.MOVE: 2>, -1, -1)], [1, 3.7078988552093506, <Action.KICK: 1>]]"
winner,red
game,13
iterations,14
times of actions,"[[0, 0.005242824554443359, (<Action.MOVE: 2>, 1, 0)], [1, 0.6657900810241699, (<Action.MOVE: 2>, 0, 1)], [0, 0.009170770645141602, (<Action.MOVE: 2>, -1, 0)], [1, 1.0775306224822998, (<Action.MOVE: 2>, 0, 1)], [0, 0.008620500564575195, (<Action.MOVE: 2>, 1, 1)], [1, 2.3000149726867676, (<Action.MOVE: 2>, -1, 1)], [0, 0.018335342407226562, (<Action.MOVE: 2>, 1, -1)], [1, 2.8795766830444336, (<Action.MOVE: 2>, -1, 0)], [0, 0.007473945617675781, (<Action.MOVE: 2>, 1, 0)], [1, 2.0304765701293945, (<Action.MOVE: 2>, -1, 0)], [0, 0.008640289306640625, (<Action.MOVE: 2>, 0, 1)], [1, 2.8977746963500977, (<Action.MOVE: 2>, -1, -1)], [0, 0.010614395141601562, (<Action.MOVE: 2>, -1, 0)], [1, 2.685971736907959, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,14
iterations,16
times of actions,"[[0, 0.01552891731262207, (<Action.MOVE: 2>, -1, 0)], [1, 0.9773259162902832, (<Action.MOVE: 2>, 0, 1)], [0, 0.012241125106811523, (<Action.MOVE: 2>, 0, -1)], [1, 1.9218673706054688, (<Action.MOVE: 2>, 0, 1)], [0, 0.02191162109375, (<Action.MOVE: 2>, 1, -1)], [1, 2.656851053237915, (<Action.MOVE: 2>, 0, 1)], [0, 0.025004863739013672, (<Action.MOVE: 2>, 0, -1)], [1, 2.627206802368164, (<Action.MOVE: 2>, -1, 0)], [0, 0.020993709564208984, (<Action.MOVE: 2>, 0, 1)], [1, 4.577206373214722, (<Action.MOVE: 2>, -1, 1)], [0, 0.018817424774169922, (<Action.MOVE: 2>, 1, -1)], [1, 3.6468045711517334, (<Action.MOVE: 2>, -1, 0)], [0, 0.012817621231079102, (<Action.MOVE: 2>, 0, -1)], [1, 2.06502103805542, (<Action.MOVE: 2>, -1, -1)], [0, 0.009349346160888672, (<Action.MOVE: 2>, 1, 0)], [1, 1.5248708724975586, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,15
iterations,13
times of actions,"[[1, 0.8848130702972412, (<Action.MOVE: 2>, 1, 1)], [0, 0.00858616828918457, (<Action.MOVE: 2>, 0, -1)], [1, 1.600144386291504, (<Action.MOVE: 2>, 1, 0)], [0, 0.017525911331176758, (<Action.MOVE: 2>, 0, -1)], [1, 1.2864744663238525, (<Action.MOVE: 2>, 0, 1)], [0, 0.009559392929077148, (<Action.MOVE: 2>, -1, -1)], [0, 0.014895200729370117, (<Action.MOVE: 2>, 0, 1)], [1, 2.300493001937866, (<Action.MOVE: 2>, 1, 1)], [0, 0.018993139266967773, (<Action.MOVE: 2>, 0, 1)], [1, 4.494880437850952, (<Action.MOVE: 2>, 1, 1)], [0, 0.015426874160766602, (<Action.MOVE: 2>, -1, 0)], [1, 3.728311061859131, (<Action.MOVE: 2>, 1, -1)], [0, 0.011282682418823242, (<Action.MOVE: 2>, 0, -1)], [1, 2.803849458694458, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,16
iterations,11
times of actions,"[[0, 0.0076677799224853516, (<Action.MOVE: 2>, 0, 1)], [1, 0.7603363990783691, (<Action.MOVE: 2>, 0, 1)], [0, 0.010850906372070312, (<Action.MOVE: 2>, 1, 1)], [1, 2.055990695953369, (<Action.MOVE: 2>, 1, 0)], [0, 0.01142573356628418, (<Action.MOVE: 2>, 1, 1)], [1, 1.5338971614837646, (<Action.MOVE: 2>, -1, 1)], [0, 0.014041423797607422, (<Action.MOVE: 2>, 1, 0)], [1, 3.3821630477905273, (<Action.MOVE: 2>, -1, 1)], [0, 0.017977237701416016, (<Action.MOVE: 2>, 0, -1)], [1, 4.481079578399658, (<Action.MOVE: 2>, 0, -1)], [0, 0.01326751708984375, (<Action.MOVE: 2>, 0, 1)], [1, 4.581336736679077, (<Action.MOVE: 2>, 0, 1)]]"
winner,none
game,17
iterations,10
times of actions,"[[0, 0.014615774154663086, (<Action.MOVE: 2>, 0, 1)], [1, 1.8598787784576416, (<Action.MOVE: 2>, -1, 0)], [0, 0.011536836624145508, (<Action.MOVE: 2>, 0, -1)], [1, 3.8684475421905518, (<Action.MOVE: 2>, -1, -1)], [0, 0.010549068450927734, (<Action.MOVE: 2>, -1, 0)], [1, 3.3513107299804688, (<Action.MOVE: 2>, -1, 0)], [0, 0.02698659896850586, (<Action.MOVE: 2>, 0, 1)], [1, 1.8882653713226318, (<Action.MOVE: 2>, -1, 0)], [0, 0.008997201919555664, (<Action.MOVE: 2>, 1, -1)], [1, 2.730290174484253, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,18
iterations,16
times of actions,"[[0, 0.011768341064453125, (<Action.MOVE: 2>, 0, 1)], [1, 0.7411270141601562, (<Action.MOVE: 2>, 0, 1)], [0, 0.010195732116699219, (<Action.MOVE: 2>, 1, -1)], [1, 1.9112493991851807, (<Action.MOVE: 2>, 0, 1)], [0, 0.024473190307617188, (<Action.MOVE: 2>, 1, -1)], [1, 2.771178722381592, (<Action.MOVE: 2>, 0, 1)], [0, 0.021878957748413086, (<Action.MOVE: 2>, 1, 0)], [1, 2.7278454303741455, (<Action.MOVE: 2>, -1, 0)], [0, 0.014531373977661133, (<Action.MOVE: 2>, -1, 0)], [1, 4.57665228843689, (<Action.MOVE: 2>, -1, 1)], [0, 0.017665624618530273, (<Action.MOVE: 2>, 1, 1)], [1, 3.987520217895508, (<Action.MOVE: 2>, -1, -1)], [0, 0.018856287002563477, (<Action.MOVE: 2>, -1, 0)], [1, 3.706322193145752, (<Action.MOVE: 2>, -1, -1)], [0, 0.014578580856323242, (<Action.MOVE: 2>, 0, 1)], [1, 2.7256510257720947, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,19
iterations,13
times of actions,"[[1, 0.8559536933898926, (<Action.MOVE: 2>, 1, 0)], [0, 0.003981828689575195, (<Action.MOVE: 2>, -1, 1)], [1, 1.6290957927703857, (<Action.MOVE: 2>, 1, 0)], [0, 0.011747121810913086, (<Action.MOVE: 2>, -1, 0)], [1, 1.8188481330871582, (<Action.MOVE: 2>, 1, 1)], [0, 0.020573139190673828, (<Action.MOVE: 2>, 1, 0)], [1, 2.5941109657287598, (<Action.MOVE: 2>, 0, 1)], [0, 0.023074626922607422, (<Action.MOVE: 2>, 0, -1)], [1, 2.2278666496276855, (<Action.MOVE: 2>, 1, 0)], [0, 0.008575439453125, (<Action.MOVE: 2>, -1, 1)], [1, 3.418198347091675, (<Action.MOVE: 2>, 1, -1)], [0, 0.011049985885620117, (<Action.MOVE: 2>, -1, 0)], [1, 2.7767043113708496, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,20
iterations,9
times of actions,"[[1, 2.656224489212036, (<Action.MOVE: 2>, 0, 1)], [0, 0.012200355529785156, (<Action.MOVE: 2>, 1, 0)], [1, 1.815622091293335, (<Action.MOVE: 2>, 1, -1)], [0, 0.017242908477783203, (<Action.MOVE: 2>, 0, 1)], [1, 2.666977882385254, (<Action.MOVE: 2>, 1, -1)], [0, 0.009284019470214844, (<Action.MOVE: 2>, -1, 0)], [1, 3.1557040214538574, (<Action.MOVE: 2>, 1, 0)], [0, 0.02091050148010254, (<Action.MOVE: 2>, 0, 1)], [1, 1.810622215270996, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,21
iterations,11
times of actions,"[[1, 1.638615608215332, (<Action.MOVE: 2>, 1, -1)], [0, 0.007842063903808594, (<Action.MOVE: 2>, 0, 1)], [1, 2.1890792846679688, (<Action.MOVE: 2>, 1, 0)], [0, 0.025138139724731445, (<Action.MOVE: 2>, 0, 1)], [1, 1.5382146835327148, (<Action.MOVE: 2>, 1, 0)], [0, 0.012302875518798828, (<Action.MOVE: 2>, -1, 0)], [1, 2.404202699661255, (<Action.MOVE: 2>, 1, 0)], [0, 0.009325981140136719, (<Action.MOVE: 2>, -1, 1)], [0, 0.01604747772216797, (<Action.MOVE: 2>, 0, -1)], [1, 3.2811222076416016, (<Action.MOVE: 2>, 1, -1)], [0, 0.01139068603515625, (<Action.MOVE: 2>, -1, -1)], [1, 3.1556291580200195, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,22
iterations,10
times of actions,"[[0, 0.017610549926757812, (<Action.MOVE: 2>, 1, 0)], [1, 2.584357976913452, (<Action.MOVE: 2>, -1, 1)], [0, 0.023111343383789062, (<Action.MOVE: 2>, 1, -1)], [1, 2.5343339443206787, (<Action.MOVE: 2>, -1, 0)], [0, 0.00966954231262207, (<Action.MOVE: 2>, 0, 1)], [1, 3.462891101837158, (<Action.MOVE: 2>, -1, 0)], [0, 0.013040304183959961, (<Action.MOVE: 2>, 1, 1)], [1, 3.2356834411621094, (<Action.MOVE: 2>, -1, -1)], [0, 0.013944625854492188, (<Action.MOVE: 2>, 1, -1)], [1, 2.0598835945129395, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,23
iterations,8
times of actions,"[[0, 0.009674310684204102, (<Action.MOVE: 2>, 1, 0)], [1, 1.6462781429290771, (<Action.MOVE: 2>, 0, 1)], [0, 0.02120804786682129, (<Action.MOVE: 2>, 0, 1)], [1, 2.8023388385772705, (<Action.MOVE: 2>, -1, 1)], [0, 0.020644664764404297, (<Action.MOVE: 2>, -1, 0)], [1, 3.664281129837036, (<Action.MOVE: 2>, -1, 1)], [0, 0.011336803436279297, (<Action.MOVE: 2>, 1, 0)], [1, 3.962326765060425, <Action.KICK: 1>]]"
winner,blue
game,24
iterations,14
times of actions,"[[0, 0.015395164489746094, (<Action.MOVE: 2>, 1, 0)], [1, 2.395679235458374, (<Action.MOVE: 2>, -1, 0)], [0, 0.017342805862426758, (<Action.MOVE: 2>, 0, 1)], [1, 2.2442264556884766, (<Action.MOVE: 2>, 1, 0)], [0, 0.016321897506713867, (<Action.MOVE: 2>, 1, 1)], [1, 1.380598783493042, (<Action.MOVE: 2>, -1, -1)], [0, 0.0075609683990478516, (<Action.MOVE: 2>, 1, 0)], [1, 2.5019261837005615, (<Action.MOVE: 2>, -1, -1)], [0, 0.010485649108886719, (<Action.MOVE: 2>, 1, 0)], [1, 1.7044951915740967, (<Action.MOVE: 2>, -1, 0)], [0, 0.010968208312988281, (<Action.MOVE: 2>, -1, 1)], [0, 0.016713619232177734, (<Action.MOVE: 2>, -1, 0)], [1, 1.8011772632598877, (<Action.MOVE: 2>, -1, 0)], [0, 0.010951757431030273, (<Action.MOVE: 2>, 0, -1)], [1, 2.3845131397247314, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,25
iterations,9
times of actions,"[[1, 2.3188834190368652, (<Action.MOVE: 2>, 0, 1)], [0, 0.014143943786621094, (<Action.MOVE: 2>, 0, 1)], [1, 1.4444875717163086, (<Action.MOVE: 2>, 1, 0)], [0, 0.0130767822265625, (<Action.MOVE: 2>, -1, 1)], [0, 0.015558242797851562, (<Action.MOVE: 2>, -1, 1)], [0, 0.016605854034423828, (<Action.MOVE: 2>, -1, -1)], [1, 3.4378530979156494, (<Action.MOVE: 2>, 1, 0)], [0, 0.012951374053955078, (<Action.MOVE: 2>, -1, 1)], [1, 2.5344676971435547, (<Action.MOVE: 2>, 1, -1)], [0, 0.009119987487792969, (<Action.MOVE: 2>, -1, -1)], [1, 2.6460442543029785, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,26
iterations,7
times of actions,"[[1, 0.9624061584472656, (<Action.MOVE: 2>, 0, 1)], [0, 0.010045051574707031, (<Action.MOVE: 2>, 0, 1)], [1, 1.9493365287780762, (<Action.MOVE: 2>, 1, 1)], [0, 0.02125239372253418, (<Action.MOVE: 2>, 1, 0)], [1, 2.0721383094787598, (<Action.MOVE: 2>, 1, 1)], [0, 0.01698160171508789, (<Action.MOVE: 2>, -1, 1)], [1, 3.7286641597747803, <Action.KICK: 1>]]"
winner,red
game,27
iterations,11
times of actions,"[[1, 2.4336135387420654, (<Action.MOVE: 2>, 0, -1)], [0, 0.011718511581420898, (<Action.MOVE: 2>, -1, 0)], [1, 2.983372211456299, (<Action.MOVE: 2>, 0, 1)], [0, 0.01913285255432129, (<Action.MOVE: 2>, -1, -1)], [1, 2.0247647762298584, (<Action.MOVE: 2>, 1, -1)], [0, 0.012501716613769531, (<Action.MOVE: 2>, -1, 1)], [1, 3.664240598678589, (<Action.MOVE: 2>, 1, 0)], [0, 0.01258230209350586, (<Action.MOVE: 2>, 1, 0)], [1, 3.6825714111328125, (<Action.MOVE: 2>, 1, -1)], [0, 0.013633012771606445, (<Action.MOVE: 2>, -1, -1)], [1, 2.546654224395752, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,28
iterations,16
times of actions,"[[0, 0.009099960327148438, (<Action.MOVE: 2>, 1, 0)], [1, 0.6048760414123535, (<Action.MOVE: 2>, 0, 1)], [0, 0.011826038360595703, (<Action.MOVE: 2>, 1, 1)], [1, 1.9760847091674805, (<Action.MOVE: 2>, 1, 0)], [0, 0.013613462448120117, (<Action.MOVE: 2>, 1, 1)], [1, 1.4798009395599365, (<Action.MOVE: 2>, -1, 1)], [0, 0.014992713928222656, (<Action.MOVE: 2>, 0, -1)], [1, 2.405987501144409, (<Action.MOVE: 2>, -1, 1)], [0, 0.013028383255004883, (<Action.MOVE: 2>, 0, -1)], [1, 2.520332098007202, (<Action.MOVE: 2>, -1, 0)], [0, 0.012121200561523438, (<Action.MOVE: 2>, 1, 1)], [1, 3.135465383529663, (<Action.MOVE: 2>, -1, 0)], [0, 0.012285709381103516, (<Action.MOVE: 2>, 0, -1)], [1, 1.846172571182251, (<Action.MOVE: 2>, -1, -1)], [0, 0.010163307189941406, (<Action.MOVE: 2>, 0, 1)], [1, 2.5061309337615967, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,29
iterations,11
times of actions,"[[1, 1.037672996520996, (<Action.MOVE: 2>, 1, 0)], [0, 0.005530118942260742, (<Action.MOVE: 2>, -1, 0)], [1, 1.446211338043213, (<Action.MOVE: 2>, 1, 0)], [0, 0.007930994033813477, (<Action.MOVE: 2>, -1, 1)], [1, 2.3356142044067383, (<Action.MOVE: 2>, 1, 0)], [0, 0.019422531127929688, (<Action.MOVE: 2>, -1, 0)], [1, 3.1346683502197266, (<Action.MOVE: 2>, 1, 0)], [0, 0.013144254684448242, (<Action.MOVE: 2>, -1, -1)], [1, 1.4886674880981445, (<Action.MOVE: 2>, 1, -1)], [0, 0.006618976593017578, (<Action.MOVE: 2>, 0, 1)], [1, 2.123854637145996, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,30
iterations,9
times of actions,"[[1, 2.3666834831237793, (<Action.MOVE: 2>, 0, -1)], [0, 0.011992216110229492, (<Action.MOVE: 2>, 1, 0)], [1, 2.084353446960449, (<Action.MOVE: 2>, 1, 0)], [0, 0.01801466941833496, (<Action.MOVE: 2>, 0, -1)], [1, 3.8105382919311523, (<Action.MOVE: 2>, 1, 1)], [0, 0.009406089782714844, (<Action.MOVE: 2>, -1, 0)], [1, 3.6078829765319824, (<Action.MOVE: 2>, 1, -1)], [0, 0.013663053512573242, (<Action.MOVE: 2>, -1, -1)], [1, 2.774127960205078, (<Action.MOVE: 2>, 1, 0)]]"
winner,red
game,31
iterations,10
times of actions,"[[0, 0.009164571762084961, (<Action.MOVE: 2>, 0, -1)], [1, 2.424565553665161, (<Action.MOVE: 2>, -1, 1)], [0, 0.01977825164794922, (<Action.MOVE: 2>, 1, 0)], [1, 4.002607107162476, (<Action.MOVE: 2>, -1, 0)], [0, 0.015349626541137695, (<Action.MOVE: 2>, 0, -1)], [1, 2.2281229496002197, (<Action.MOVE: 2>, -1, 0)], [0, 0.007963895797729492, (<Action.MOVE: 2>, 0, 1)], [1, 3.220430612564087, (<Action.MOVE: 2>, -1, -1)], [0, 0.015549659729003906, (<Action.MOVE: 2>, 0, -1)], [1, 1.717862606048584, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,32
iterations,9
times of actions,"[[1, 2.1150996685028076, (<Action.MOVE: 2>, 0, 1)], [0, 0.012157678604125977, (<Action.MOVE: 2>, 1, 0)], [1, 2.0161736011505127, (<Action.MOVE: 2>, 1, 1)], [0, 0.017479658126831055, (<Action.MOVE: 2>, -1, 0)], [1, 4.4666688442230225, (<Action.MOVE: 2>, 1, 1)], [0, 0.022120237350463867, (<Action.MOVE: 2>, 0, 1)], [1, 4.225021839141846, (<Action.MOVE: 2>, 1, 1)], [0, 0.012070178985595703, (<Action.MOVE: 2>, 1, 0)], [1, 2.202455997467041, <Action.KICK: 1>]]"
winner,red
game,33
iterations,14
times of actions,"[[0, 0.015674114227294922, (<Action.MOVE: 2>, 0, 1)], [1, 0.9832367897033691, (<Action.MOVE: 2>, 0, 1)], [0, 0.02234673500061035, (<Action.MOVE: 2>, 0, 1)], [1, 1.0979535579681396, (<Action.MOVE: 2>, -1, 1)], [0, 0.011315584182739258, (<Action.MOVE: 2>, -1, 0)], [1, 1.1214311122894287, (<Action.MOVE: 2>, 0, 1)], [0, 0.007428407669067383, (<Action.MOVE: 2>, 1, 0)], [1, 2.4679839611053467, (<Action.MOVE: 2>, -1, 0)], [0, 0.014449357986450195, (<Action.MOVE: 2>, 1, -1)], [1, 3.7828197479248047, (<Action.MOVE: 2>, -1, 0)], [0, 0.02500128746032715, (<Action.MOVE: 2>, 0, 1)], [1, 2.197585105895996, (<Action.MOVE: 2>, -1, -1)], [0, 0.012502908706665039, (<Action.MOVE: 2>, -1, 0)], [1, 1.561457633972168, (<Action.MOVE: 2>, -1, 0)]]"
winner,blue
game,34
iterations,5
times of actions,"[[0, 0.005984783172607422, (<Action.MOVE: 2>, 1, 1)], [1, 2.63240122795105, (<Action.MOVE: 2>, -1, 0)], [0, 0.025931119918823242, (<Action.MOVE: 2>, 0, 1)], [1, 4.248151063919067, (<Action.MOVE: 2>, 1, 0)], [0, 0.011925697326660156, (<Action.MOVE: 2>, 0, -1)], [1, 4.938493013381958, (<Action.MOVE: 2>, -1, 0)]]"
winner,none
game,35
iterations,11
